Town ,Latitude,Longitude
 MERTI,1.0611702,38.6660903
 MERU,0.0514721,37.6456042
 MERU,0.0514721,37.6456042
Meru,0.0514721,37.6456042
Mfangano,-0.4593692,34.0084395
Sena,-0.53679,34.1110029
Nairobi,-1.2920659,36.8219462
Maua,0.2325548,37.9413748
Migadini,-4.0178172,39.6230078
Migadini,-4.0178172,39.6230078
Migori,-1.066667,34.466667
 MIGWANI,-1.0999112,38.0353692
 MIKINDANI,-4.0079162,39.6285874
Miruka,-0.2632907,34.9370524
Kasarani,-1.2278411,36.9057288
 MISHOMORONI,-4.021263,39.6839264
 MITABONI,-1.3739663,37.2503928
 MITUNGUU,-0.1089044,37.7848732
Eastleigh,-1.266667,36.85
 MLOLONGO,-1.3922344,36.9406718
 MLOLONGO,-1.3922344,36.9406718
 MLOLONGO,-1.3922344,36.9406718
 MODING,0.7555939,34.3489587
Mombasa,-4.0434771,39.6682065
Harambee,-1.2806721,36.8761485
Harambee,-1.2806721,36.8761485
 MOI'S BRIDGE,0.8766986,35.1200016
 MOKOMONI,-0.6148792,35.0271177
 MOKOMONI,-0.6148792,35.0271177
 MOLO,-0.2488358,35.7323709
 MOLO,-0.2488358,35.7323709
 MOLO,-0.2488358,35.7323709
 MOLO,-0.2488358,35.7323709
Mombasa,-4.0434771,39.6682065
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Moyale,3.5210916,39.0546262
Moyale,3.5210916,39.0546262
Westlands,-1.2682643,36.8111214
 MSHOMORONI,-4.0197951,39.6780369
 MTONDIA,-3.5779278,39.867239
 MTONGWE,-4.0917613,39.6440744
 MTWAPA,-3.95,39.744444
 MTWAPA,-3.95,39.744444
 MTWAPA,-3.95,39.744444
 MUCATHA,-1.1068219,37.0178906
 MUCHARAGE,-0.566667,36.85
 MUCHATHA,-1.192126,36.7752175
 MUGEKA ,-0.6480521,37.1013169
 MUHURUBAY,-0.9988358,34.0961553
 MUJWA,-1.3074084,36.9192405
 MUKUYUNI,-1.7473102,37.4621372
 MULOT SUNSET,-0.023559,37.906193
Mumias,0.333333,34.483333
 MUNGATSI,0.4716215,34.3154199
Kangari,-0.7857493,36.9111145
Kangari,-0.7857493,36.9111145
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Murera,0.3,38.1166667
Musanda,0.2187801,34.4492841
Musoli,0.2039052,34.6690605
 MUTHA,-1.7953859,38.4284614
 MUTHARA,0.22,37.8
 MUTHENGERA,0.2108565,36.3237348
 MUTHURWA,-1.2879687,36.8351519
 MUTITHI,-0.7644444,37.3136111
 MUTITUNI,-1.4528542,37.2505601
 MUTOMO,-1.846384,38.2084547
 MUTUATI,0.3843577,37.9785562
 MUTUMBU,0.1150099,34.4487888
 MUTUOBARE,-0.7452752,37.8296716
 MWALA,-1.3519815,37.4502563
 MWALA,-1.3519815,37.4502563
 MWATATE,-3.5032932,38.3639837
 MWEA,-1.9083333,37.2438889
 MWEIGA,-0.210126,36.9572927
 MWEIGA,-0.210126,36.9572927
Kasarani,-1.2278411,36.9057288
Mwingi,-0.937411,38.0605006
Mwingi,-0.937411,38.0605006
Mwireri,-0.5542909,37.0719357
 N/ENKARE,-1.0435255,36.1684781
 NAARI,0.0965684,37.5925326
Gikomba,-1.2856379,36.840502
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
 NAIROBI,-1.2920659,36.8219462
Kasarani,-1.2278411,36.9057288
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
 NAITIRI,0.7576376,34.8884797
 NAIVASHA,-0.720236,36.428531
 NAIVASHA,-0.720236,36.428531
Nairobi,-1.2920659,36.8219462
Nakuru,-0.3030988,36.080026
Nakuru,-0.3030988,36.080026
 NAMANGA,-2.5520935,36.7838976
 NAMANGA,-2.5520935,36.7838976
 NAMBALE ,0.45,34.25
 NAMGOI,0.2182133,35.1150298
 NANYUKI,0.016667,37.066667
 NAROK,-1.083333,35.866667
 NAROK,-1.083333,35.866667
 NAROK,-1.083333,35.866667
 NAROK,-1.083333,35.866667
 NAROK,-1.083333,35.866667
 NAROMORU,-0.166667,37.016667
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
 NDAGANI,-0.3200499,37.6586181
